offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
6272541941327526413	2017-06-26T00:00:00+03:00	2018-08-18T00:00:00+03:00	5078000.0	5	False	2	False	71.5	14.0	29.7			1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, проспект Авиаторов Балтики, 13	6367309783481566232
8309782339610786066	2017-09-13T00:00:00+03:00	2018-02-08T00:00:00+03:00	4200000.0	9	False	1	False	35.0	10.0	16.0		0.0	1	2	Россия, Санкт-Петербург, Шуваловский проспект, 88к1	72812864710557133
5261129275444486656	2018-02-17T00:00:00+03:00	2018-03-19T00:00:00+03:00	30000.0	12	False	1	False	42.0			50.0		2	2	Россия, Санкт-Петербург, Московский проспект, 207	4373184457909325820
7569503677591932038	2017-09-29T00:00:00+03:00	2017-12-20T00:00:00+03:00	3065400.0	9	False	0	True	26.2		14.0			1	2	Россия, Санкт-Петербург, проспект Королёва, 59к1	7373491244948375565
5109277651736888577	2017-12-09T00:00:00+03:00	2018-01-09T00:00:00+03:00	28000.0	7	False	2	False	60.0	16.0	36.0	50.0	10.0	2	2	Россия, Санкт-Петербург, Богатырский проспект, 58к1	5381016492147294681
3375339907800370995	2017-02-22T00:00:00+03:00	2017-02-22T00:00:00+03:00	19000.0	7	False	1	False	44.0	11.0	20.0	100.0	0.0	2	2	Россия, Санкт-Петербург, улица Маршала Захарова, 12к1	6700167350879661513
9069199666280373783	2016-05-27T00:00:00+03:00	2017-03-16T00:00:00+03:00	2900000.0	2	False	2	False	55.0	10.0	32.0		0.0	1	2	Россия, Ленинградская область, Выборг, Крепостная улица, 2	198553027272673125
4491825357427705881	2018-05-18T00:00:00+03:00	2018-05-22T00:00:00+03:00	20000.0	3	False	2	False	53.0	10.0	34.0	50.0	11.0	2	2	Россия, Санкт-Петербург, улица Федосеенко, 26	8617361067497459065
5177752565079562117	2018-05-30T00:00:00+03:00	2018-08-20T00:00:00+03:00	2990000.0	2	False	1	False	30.0	6.3	16.0			1	2	Россия, Санкт-Петербург, Дальневосточный проспект, 57к2	9051208548629001232
4842857799866109187	2018-04-25T00:00:00+03:00	2018-05-01T00:00:00+03:00	27000.0	12	False	2	False	55.0	11.0	45.0			2	2	Россия, Санкт-Петербург, проспект Ударников, 38к2	42293061106719787
5028522700620424225	2016-02-22T00:00:00+03:00	2017-04-26T00:00:00+03:00	17500000.0	4	False	3	False	94.2	14.0	62.2		0.0	1	2	Россия, Санкт-Петербург, набережная реки Фонтанки, 116	5091220263802455785
3938143056757984768	2016-07-03T00:00:00+03:00	2016-12-18T00:00:00+03:00	2280000.0	11	False	0	True	34.0		23.0		2.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, городской поселок Янино-1, Кольцевая улица, 8к1	2045978613276376269
1334181042035442689	2017-01-11T00:00:00+03:00	2017-11-14T00:00:00+03:00	9700000.0	2	False	3	False	93.0	15.0			2.0	1	2	Россия, Санкт-Петербург, Московский проспект, 183-185Б	2589121538591859519
2037209571529286401	2017-05-14T00:00:00+03:00	2018-01-01T00:00:00+03:00	7400000.0	3	False	3	False	71.7	9.0	48.2		10.0	1	2	Россия, Санкт-Петербург, улица Кораблестроителей, 44к2	7323709713868771056
8843812956650996737	2018-02-01T00:00:00+03:00	2018-02-26T00:00:00+03:00	1200000.0	1	False	1	False	37.0					1	2	Россия, Ленинградская область, Гатчинский район, деревня Меньково, 54	649655852415545465
4309432	2015-10-21T00:00:00+03:00	2016-04-10T00:00:00+03:00	25000.0	1	False	2	False	72.0	10.0	38.0	100.0	11.0	2	2	Россия, Санкт-Петербург, Большая Пушкарская улица, 11	6941707237994729501
3376106656722080052	2016-12-31T00:00:00+03:00	2017-05-28T00:00:00+03:00	55000.0	9	False	2	False	58.0	30.0	18.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Морская набережная, 21к2	1756484481996676777
5148571494044076043	2015-12-18T00:00:00+03:00	2016-07-12T00:00:00+03:00	2400000.0	4	False	1	False	25.0	5.0	17.0		0.0	1	2	Россия, Санкт-Петербург, проспект Будённого, 2	981171077501465454
9174606537143971077	2016-09-21T00:00:00+03:00	2018-01-23T00:00:00+03:00	5600000.0	11	False	2	False	57.0	11.6	32.6		0.0	1	2	Россия, Санкт-Петербург, Пулковское шоссе, 40к3	6690775821291622561
2332956270682661594	2017-04-27T00:00:00+03:00	2017-05-02T00:00:00+03:00	2350110.0	14	False	0	True	26.6		19.18		6.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, бульвар Менделеева, 13	3829323424817394195
2554639205170951388	2018-07-31T00:00:00+03:00	2018-08-20T00:00:00+03:00	3990000.0	7	False	1	False	45.75	9.72	18.6			1	2	Россия, Санкт-Петербург, проспект Просвещения, 43	6354249340138182854
6454680664416620306	2016-11-22T00:00:00+03:00	2017-01-31T00:00:00+03:00	40000.0	3	False	3	False	56.0	18.0	32.0		0.0	2	2	Россия, Санкт-Петербург, проспект Науки, 31	135582742631513778
7083397884723581413	2015-12-23T00:00:00+03:00	2016-08-23T00:00:00+03:00	6490000.0	15	False	2	False	58.6	12.2	30.3		0.0	1	2	Россия, Санкт-Петербург, проспект Маршала Жукова, 54к1	5167719149498002786
3804916834405903616	2017-06-23T00:00:00+03:00	2018-02-07T00:00:00+03:00	4900000.0	4	False	3	False	65.0	7.6	42.0		3.0	1	2	Россия, Санкт-Петербург, улица Композиторов, 19	5893539674528018850
4354916262494582273	2017-08-26T00:00:00+03:00	2017-10-13T00:00:00+03:00	8999999.0	17	False	2	False	77.0	25.0	26.0		10.0	1	2	Россия, Ленинградская область, Всеволожский район, Сертолово, улица Молодцова, 2к2	1814904992674462020
3464020066938014651	2016-12-29T00:00:00+03:00	2017-02-01T00:00:00+03:00	2700000.0	16	False	1	False	20.0		15.03		6.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино	1321722015185416942
6609479638643007744	2018-07-16T00:00:00+03:00	2018-08-16T00:00:00+03:00	20000.0	3	False	1	False	42.0	11.0	20.0	50.0		2	2	Россия, Санкт-Петербург, улица Фаворского, 15к1	2048455323145444861
8404793262632586496	2015-07-30T00:00:00+03:00	2016-09-05T00:00:00+03:00	8600000.0	5	False	2	False	76.0	14.0	45.0		10.0	1	2	Россия, Санкт-Петербург, проспект Маршала Жукова, 41	82158892241765115
5872551275665462272	2017-06-20T00:00:00+03:00	2018-04-28T00:00:00+03:00	28000.0	5	False	3	False	60.0					2	2	Россия, Санкт-Петербург, Ириновский проспект, 35	5038812266738444915
8450813414920327681	2018-02-08T00:00:00+03:00	2018-04-09T00:00:00+03:00	6500000.0	9	False	2	False	47.0					1	2	Россия, Санкт-Петербург, Байконурская улица, 24	7334289408146025572
7442162443152730368	2015-10-11T00:00:00+03:00	2018-03-19T00:00:00+03:00	2575500.0	13	False	0	True	30.3		19.4			1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к1	7076615050583066162
3376106655841104252	2017-07-06T00:00:00+03:00	2017-07-11T00:00:00+03:00	60000.0	4	False	2	False	90.0	10.0	42.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Невский проспект, 51	5857261474356074158
5534795797945623808	2018-03-19T00:00:00+03:00	2018-04-18T00:00:00+03:00	15000.0	1	False	2	False	45.0					2	2	Россия, Ленинградская область, Гатчина, улица Григорина, 11	1352799068298099777
2554639205086732265	2017-01-28T00:00:00+03:00	2018-02-20T00:00:00+03:00	7300000.0	5	False	2	False	70.0	12.0	40.0			1	2	Россия, Санкт-Петербург, Литейный проспект, 35	7528309176946493946
9069199666280491960	2016-09-14T00:00:00+03:00	2017-03-10T00:00:00+03:00	2750000.0	5	False	2	False	57.2	8.3	31.2		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Лесколовское сельское поселение, деревня Лесколово, Красноборская улица, 20	8416542242525154079
7258486944668991221	2016-08-15T00:00:00+03:00	2017-11-28T00:00:00+03:00	4870000.0	7	False	2	False	53.0	8.1	30.0			1	2	Россия, Санкт-Петербург, улица Маршала Казакова, 68к1	5809952634094105883
7304230173682464001	2016-11-04T00:00:00+03:00	2016-12-25T00:00:00+03:00	50000.0	3	False	2	False	100.0	12.0	66.0	50.0	10.0	2	2	Россия, Санкт-Петербург, 9-я Советская улица, 9/30	1987292555928659114
5815058732512484865	2016-09-08T00:00:00+03:00	2016-09-15T00:00:00+03:00	18000.0	5	False	1	False	35.0	8.0	18.0	100.0	0.0	2	2	Россия, Санкт-Петербург, проспект Металлистов, 84	3140399340120322904
2603623448566300417	2018-07-24T00:00:00+03:00	2018-08-20T00:00:00+03:00	19000.0	1	False	1	False	39.0					2	2	Россия, Санкт-Петербург, улица Маршала Захарова, 27к1	6700167350879696109
7622694168300851350	2017-09-21T00:00:00+03:00	2017-09-26T00:00:00+03:00	20000.0	19	False	1	False	42.0	9.0	20.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Дунайский проспект, 28к2	8331213854790600205
9174606537144178868	2015-11-24T00:00:00+03:00	2017-10-20T00:00:00+03:00	2390000.0	16	False	0	True	25.5		19.0		0.0	1	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, улица Шувалова, 3	9062539333794610739
4477029098441088512	2016-04-07T00:00:00+03:00	2016-06-05T00:00:00+03:00	22000.0	3	False	2	False	46.0	6.0	29.0	70.0	7.0	2	2	Россия, Санкт-Петербург, Красногвардейский район, муниципальный округ Малая Охта, Казанская улица, 4	6141864598878026879
